Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|Q9NRG7|D39U1_HUMAN,Epimerase family protein SDR39U1 OS=Homo sapiens OX=9606 GN=SDR39U1 PE=1 SV=3,SDR39U1,2.0791E+4,3.8427E+4,4.1683E+4
sp|Q9NWU1|OXSM_HUMAN,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Homo sapiens OX=9606 GN=OXSM PE=1 SV=1",OXSM,2.7022E+4,2.9643E+4,1.6184E+4
sp|Q9NXA8|SIR5_HUMAN,"NAD-dependent protein deacylase sirtuin-5, mitochondrial OS=Homo sapiens OX=9606 GN=SIRT5 PE=1 SV=2",SIRT5,3.2749E+4,3.1944E+4,3.8710E+4
sp|O60784|TOM1_HUMAN,Target of Myb1 membrane trafficking protein OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=2,TOM1,4.3104E+4,7.0677E+4,4.5475E+4
sp|O95295|SNAPN_HUMAN,SNARE-associated protein Snapin OS=Homo sapiens OX=9606 GN=SNAPIN PE=1 SV=1,SNAPIN,1.2924E+5,1.2104E+5,1.3481E+5
sp|P04439|HLAA_HUMAN,"HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2",HLA-A,1.5147E+7,1.5125E+7,1.5912E+7
sp|P14649|MYL6B_HUMAN,Myosin light chain 6B OS=Homo sapiens OX=9606 GN=MYL6B PE=1 SV=1,MYL6B,1.9511E+7,2.0185E+7,2.0093E+7
sp|P20336|RAB3A_HUMAN,Ras-related protein Rab-3A OS=Homo sapiens OX=9606 GN=RAB3A PE=1 SV=1,RAB3A,1.2206E+4,9.1913E+3,7.9573E+3
sp|P36543|VATE1_HUMAN,V-type proton ATPase subunit E 1 OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1,ATP6V1E1,2.4056E+5,2.6775E+5,2.1049E+5
sp|P42356|PI4KA_HUMAN,Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4,PI4KA,8.8089E+5,6.7705E+5,7.1765E+5
sp|P47712|PA24A_HUMAN,Cytosolic phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G4A PE=1 SV=2,PLA2G4A,1.0111E+6,9.9153E+5,1.0134E+6
sp|P49641|MA2A2_HUMAN,Alpha-mannosidase 2x OS=Homo sapiens OX=9606 GN=MAN2A2 PE=1 SV=3,MAN2A2,1.0384E+6,1.0011E+6,9.7489E+5
sp|P49757|NUMB_HUMAN,Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=2,NUMB,1.4631E+5,1.4467E+5,3.9574E+5
sp|P50453|SPB9_HUMAN,Serpin B9 OS=Homo sapiens OX=9606 GN=SERPINB9 PE=1 SV=1,SERPINB9,2.4227E+6,2.6355E+6,2.1840E+6
sp|P53004|BIEA_HUMAN,Biliverdin reductase A OS=Homo sapiens OX=9606 GN=BLVRA PE=1 SV=2,BLVRA,1.3119E+6,1.3218E+6,1.2786E+6
sp|Q16799|RTN1_HUMAN,Reticulon-1 OS=Homo sapiens OX=9606 GN=RTN1 PE=1 SV=1,RTN1,1.1050E+6,9.7125E+5,1.0153E+6
sp|Q4G176|ACSF3_HUMAN,"Malonate--CoA ligase ACSF3, mitochondrial OS=Homo sapiens OX=9606 GN=ACSF3 PE=1 SV=3",ACSF3,6.0191E+4,7.2835E+4,7.9749E+4
sp|Q96HE7|ERO1A_HUMAN,ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=2,ERO1A,2.2907E+4,2.4819E+4,3.3725E+4
sp|Q99497|PARK7_HUMAN,Parkinson disease protein 7 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2,PARK7,4.9725E+6,5.2193E+6,5.7734E+6
sp|Q9C093|SPEF2_HUMAN,Sperm flagellar protein 2 OS=Homo sapiens OX=9606 GN=SPEF2 PE=1 SV=2,SPEF2,#N/A,#N/A,#N/A
sp|A0A0C4DH31|HV118_HUMAN,Immunoglobulin heavy variable 1-18 OS=Homo sapiens OX=9606 GN=IGHV1-18 PE=1 SV=1,IGHV1-18,1.0424E+5,9.2216E+6,8.9275E+6
sp|O00505|IMA4_HUMAN,Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2,KPNA3,3.4173E+4,3.0508E+4,3.3507E+4
sp|O76013|KRT36_HUMAN,"Keratin, type I cuticular Ha6 OS=Homo sapiens OX=9606 GN=KRT36 PE=1 SV=1",KRT36,1.3074E+5,1.4960E+5,1.4572E+5
sp|P04080|CYTB_HUMAN,Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2,CSTB,8.4484E+4,1.0490E+5,8.8894E+4
sp|P07686|HEXB_HUMAN,Beta-hexosaminidase subunit beta OS=Homo sapiens OX=9606 GN=HEXB PE=1 SV=4,HEXB,5.9809E+5,2.6431E+5,2.6942E+5
sp|P07741|APT_HUMAN,Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2,APRT,2.6428E+6,2.0281E+6,2.5974E+6
sp|P22455|FGFR4_HUMAN,Fibroblast growth factor receptor 4 OS=Homo sapiens OX=9606 GN=FGFR4 PE=1 SV=2,FGFR4,6.8333E+4,1.1679E+5,5.8949E+4
sp|P29218|IMPA1_HUMAN,Inositol monophosphatase 1 OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1,IMPA1,5.1535E+5,5.7516E+5,6.6058E+5
sp|P43115|PE2R3_HUMAN,Prostaglandin E2 receptor EP3 subtype OS=Homo sapiens OX=9606 GN=PTGER3 PE=1 SV=1,PTGER3,9.3575E+3,6.4407E+3,7.5685E+3
sp|P46531|NOTC1_HUMAN,Neurogenic locus notch homolog protein 1 OS=Homo sapiens OX=9606 GN=NOTCH1 PE=1 SV=4,NOTCH1,2.9588E+5,2.7793E+5,2.7219E+5
sp|P52758|RIDA_HUMAN,2-iminobutanoate/2-iminopropanoate deaminase OS=Homo sapiens OX=9606 GN=RIDA PE=1 SV=1,RIDA,2.6563E+4,1.6178E+4,1.6400E+4
sp|P53582|MAP11_HUMAN,Methionine aminopeptidase 1 OS=Homo sapiens OX=9606 GN=METAP1 PE=1 SV=2,METAP1,3.4639E+5,2.8894E+5,3.1819E+5
sp|P67936|TPM4_HUMAN,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,TPM4,3.8218E+7,4.0157E+7,3.9622E+7
sp|Q13449|LSAMP_HUMAN,Limbic system-associated membrane protein OS=Homo sapiens OX=9606 GN=LSAMP PE=1 SV=2,LSAMP,4.1578E+4,1.7680E+4,1.5893E+4
sp|Q13530|SERC3_HUMAN,Serine incorporator 3 OS=Homo sapiens OX=9606 GN=SERINC3 PE=1 SV=2,SERINC3,4.2998E+4,8.6524E+4,5.9233E+4
sp|Q15393|SF3B3_HUMAN,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,SF3B3,#N/A,#N/A,#N/A
sp|Q15819|UB2V2_HUMAN,Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=4,UBE2V2,1.9640E+5,2.0047E+5,2.2631E+5
sp|Q16718|NDUA5_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens OX=9606 GN=NDUFA5 PE=1 SV=3,NDUFA5,2.9123E+5,2.6631E+5,2.7326E+5
sp|Q8NE71|ABCF1_HUMAN,ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,ABCF1,2.0296E+6,1.8353E+6,1.6634E+6
sp|Q8TCD5|NT5C_HUMAN,"5'(3')-deoxyribonucleotidase, cytosolic type OS=Homo sapiens OX=9606 GN=NT5C PE=1 SV=2",NT5C,2.1794E+5,1.8447E+5,1.9750E+5
sp|Q92752|TENR_HUMAN,Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3,TNR,6.7575E+3,1.4968E+4,9.0731E+3
sp|Q96NT1|NP1L5_HUMAN,Nucleosome assembly protein 1-like 5 OS=Homo sapiens OX=9606 GN=NAP1L5 PE=1 SV=1,NAP1L5,3.0408E+4,1.8419E+4,2.6301E+4
sp|Q9H832|UBE2Z_HUMAN,Ubiquitin-conjugating enzyme E2 Z OS=Homo sapiens OX=9606 GN=UBE2Z PE=1 SV=2,UBE2Z,1.1298E+4,3.5290E+4,3.2216E+4
sp|Q9NRL3|STRN4_HUMAN,Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2,STRN4,4.8757E+5,4.9362E+5,5.1452E+5
sp|Q9P0J7|KCMF1_HUMAN,E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens OX=9606 GN=KCMF1 PE=1 SV=2,KCMF1,7.3520E+3,4.5867E+3,1.1378E+4
sp|Q9P0N8|MARH2_HUMAN,E3 ubiquitin-protein ligase MARCHF2 OS=Homo sapiens OX=9606 GN=MARCHF2 PE=1 SV=1,MARCHF2,4.8884E+4,1.2680E+4,1.8873E+4
sp|Q9Y303|NAGA_HUMAN,N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=2,AMDHD2,6.1486E+4,5.7182E+4,5.1090E+4
sp|O00399|DCTN6_HUMAN,Dynactin subunit 6 OS=Homo sapiens OX=9606 GN=DCTN6 PE=1 SV=1,DCTN6,4.9639E+4,3.6026E+4,4.2654E+4
sp|O15084|ANR28_HUMAN,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5,ANKRD28,1.8178E+5,1.9969E+5,3.3349E+5
sp|O60256|KPRB_HUMAN,Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens OX=9606 GN=PRPSAP2 PE=1 SV=1,PRPSAP2,1.2272E+5,1.3853E+5,1.2670E+5
sp|O60645|EXOC3_HUMAN,Exocyst complex component 3 OS=Homo sapiens OX=9606 GN=EXOC3 PE=1 SV=3,EXOC3,3.0539E+5,3.1576E+5,2.5619E+5
sp|P02654|APOC1_HUMAN,Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1,APOC1,1.8825E+7,1.7240E+7,1.8226E+7
sp|P02774|VTDB_HUMAN,Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2,GC,2.5106E+7,2.4154E+7,2.4476E+7
sp|P11216|PYGB_HUMAN,"Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5",PYGB,3.5878E+6,3.8283E+6,4.0900E+6
sp|P24311|COX7B_HUMAN,"Cytochrome c oxidase subunit 7B, mitochondrial OS=Homo sapiens OX=9606 GN=COX7B PE=1 SV=2",COX7B,2.2066E+4,2.4615E+4,1.8408E+4
sp|P40967|PMEL_HUMAN,Melanocyte protein PMEL OS=Homo sapiens OX=9606 GN=PMEL PE=1 SV=2,PMEL,9.1931E+5,9.7963E+5,9.2386E+5
sp|P62879|GBB2_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens OX=9606 GN=GNB2 PE=1 SV=3,GNB2,1.1055E+6,1.1732E+6,1.1478E+6
sp|Q07960|RHG01_HUMAN,Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,ARHGAP1,2.0766E+6,2.4388E+6,2.3953E+6
sp|Q13501|SQSTM_HUMAN,Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1,SQSTM1,1.6785E+5,1.5311E+5,1.6433E+5
sp|Q567U6|CCD93_HUMAN,Coiled-coil domain-containing protein 93 OS=Homo sapiens OX=9606 GN=CCDC93 PE=1 SV=2,CCDC93,1.1388E+5,1.7046E+5,1.2158E+5
sp|Q68D51|DEN2C_HUMAN,DENN domain-containing protein 2C OS=Homo sapiens OX=9606 GN=DENND2C PE=1 SV=2,DENND2C,3.4442E+5,3.5711E+5,3.7296E+5
sp|Q6P1X6|CH082_HUMAN,UPF0598 protein C8orf82 OS=Homo sapiens OX=9606 GN=C8orf82 PE=1 SV=2,C8orf82,1.3510E+4,7.4240E+3,1.7060E+3
sp|Q8IYQ7|THNS1_HUMAN,Threonine synthase-like 1 OS=Homo sapiens OX=9606 GN=THNSL1 PE=1 SV=2,THNSL1,4.2552E+4,3.7488E+4,3.6216E+4
sp|Q8N442|GUF1_HUMAN,"Translation factor GUF1, mitochondrial OS=Homo sapiens OX=9606 GN=GUF1 PE=1 SV=1",GUF1,6.8991E+3,#N/A,5.0760E+3
sp|Q8WUA7|TB22A_HUMAN,TBC1 domain family member 22A OS=Homo sapiens OX=9606 GN=TBC1D22A PE=1 SV=2,TBC1D22A,5.3423E+4,4.4143E+4,4.2101E+4
sp|Q969M3|YIPF5_HUMAN,Protein YIPF5 OS=Homo sapiens OX=9606 GN=YIPF5 PE=1 SV=1,YIPF5,3.9491E+4,4.5790E+4,5.1675E+4
sp|Q96PY6|NEK1_HUMAN,Serine/threonine-protein kinase Nek1 OS=Homo sapiens OX=9606 GN=NEK1 PE=1 SV=2,NEK1,7.6224E+3,#N/A,7.4314E+3
sp|Q9P260|RELCH_HUMAN,RAB11-binding protein RELCH OS=Homo sapiens OX=9606 GN=RELCH PE=1 SV=2,RELCH,3.1225E+5,3.0528E+5,3.2166E+5
sp|Q9Y3A5|SBDS_HUMAN,Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4,SBDS,2.0565E+5,2.1639E+5,1.3213E+5
sp|O00584|RNT2_HUMAN,Ribonuclease T2 OS=Homo sapiens OX=9606 GN=RNASET2 PE=1 SV=2,RNASET2,1.3468E+5,1.7903E+5,1.9958E+5
sp|O43318|M3K7_HUMAN,Mitogen-activated protein kinase kinase kinase 7 OS=Homo sapiens OX=9606 GN=MAP3K7 PE=1 SV=1,MAP3K7,2.7200E+4,1.7077E+4,2.4767E+4
sp|O43747|AP1G1_HUMAN,AP-1 complex subunit gamma-1 OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=5,AP1G1,3.1846E+4,7.9496E+4,6.6183E+4
sp|P05546|HEP2_HUMAN,Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3,SERPIND1,4.6714E+7,5.0355E+7,5.0414E+7
sp|P28482|MK01_HUMAN,Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3,MAPK1,4.4219E+5,5.4859E+5,4.9946E+5
sp|P29122|PCSK6_HUMAN,Proprotein convertase subtilisin/kexin type 6 OS=Homo sapiens OX=9606 GN=PCSK6 PE=1 SV=1,PCSK6,2.8312E+6,2.1246E+6,3.0057E+6
sp|P55795|HNRH2_HUMAN,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1,HNRNPH2,3.6039E+4,4.4756E+4,4.4309E+4
sp|Q14CZ7|FAKD3_HUMAN,"FAST kinase domain-containing protein 3, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD3 PE=1 SV=2",FASTKD3,#N/A,#N/A,#N/A
sp|Q53H76|PLA1A_HUMAN,Phospholipase A1 member A OS=Homo sapiens OX=9606 GN=PLA1A PE=1 SV=2,PLA1A,#N/A,#N/A,#N/A
sp|Q5HYI8|RABL3_HUMAN,Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1,RABL3,4.6819E+4,5.9753E+4,8.2150E+3
sp|Q86YV9|HPS6_HUMAN,BLOC-2 complex member HPS6 OS=Homo sapiens OX=9606 GN=HPS6 PE=1 SV=1,HPS6,9.4975E+3,2.4955E+3,8.4119E+3
sp|Q8N0X2|SPG16_HUMAN,Sperm-associated antigen 16 protein OS=Homo sapiens OX=9606 GN=SPAG16 PE=1 SV=2,SPAG16,#N/A,#N/A,#N/A
sp|Q8N8J6|ZN615_HUMAN,Zinc finger protein 615 OS=Homo sapiens OX=9606 GN=ZNF615 PE=1 SV=2,ZNF615,1.5595E+4,1.9861E+4,3.9404E+4
sp|Q8NFQ8|TOIP2_HUMAN,Torsin-1A-interacting protein 2 OS=Homo sapiens OX=9606 GN=TOR1AIP2 PE=1 SV=1,TOR1AIP2,1.7335E+5,1.9925E+5,2.0774E+5
sp|Q8NHV4|NEDD1_HUMAN,Protein NEDD1 OS=Homo sapiens OX=9606 GN=NEDD1 PE=1 SV=1,NEDD1,2.6461E+4,2.3350E+4,2.7651E+4
sp|Q96BW9|TAM41_HUMAN,"Phosphatidate cytidylyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=TAMM41 PE=1 SV=2",TAMM41,#N/A,1.0006E+4,1.5280E+4
sp|Q96BZ9|TBC20_HUMAN,TBC1 domain family member 20 OS=Homo sapiens OX=9606 GN=TBC1D20 PE=1 SV=1,TBC1D20,7.1434E+4,8.4599E+4,1.0712E+5
sp|Q96S59|RANB9_HUMAN,Ran-binding protein 9 OS=Homo sapiens OX=9606 GN=RANBP9 PE=1 SV=1,RANBP9,1.5690E+4,2.2935E+4,3.0596E+4
sp|Q9BRJ7|TIRR_HUMAN,Tudor-interacting repair regulator protein OS=Homo sapiens OX=9606 GN=NUDT16L1 PE=1 SV=1,NUDT16L1,4.9659E+4,5.7449E+4,4.5563E+4
sp|Q9HA47|UCK1_HUMAN,Uridine-cytidine kinase 1 OS=Homo sapiens OX=9606 GN=UCK1 PE=1 SV=1,UCK1,2.5252E+4,1.2825E+4,2.1174E+4
sp|Q9NX40|OCAD1_HUMAN,OCIA domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1,OCIAD1,5.9419E+4,8.9787E+4,7.0733E+4
sp|Q9UBF2|COPG2_HUMAN,Coatomer subunit gamma-2 OS=Homo sapiens OX=9606 GN=COPG2 PE=1 SV=1,COPG2,2.6063E+5,2.9425E+5,2.8913E+5
sp|O15460|P4HA2_HUMAN,Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1,P4HA2,8.1703E+3,1.3922E+4,8.7942E+3
sp|O75935|DCTN3_HUMAN,Dynactin subunit 3 OS=Homo sapiens OX=9606 GN=DCTN3 PE=1 SV=1,DCTN3,7.2228E+5,7.5797E+5,7.0728E+5
sp|P06576|ATPB_HUMAN,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",ATP5F1B,5.1716E+6,5.0623E+6,5.2504E+6
sp|P06702|S10A9_HUMAN,Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1,S100A9,2.0294E+5,1.9449E+5,1.9913E+5
sp|P12111|CO6A3_HUMAN,Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5,COL6A3,2.0282E+6,1.9663E+6,2.0493E+6
sp|P19367|HXK1_HUMAN,Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3,HK1,6.2788E+6,6.6700E+6,6.6305E+6
sp|P33241|LSP1_HUMAN,Lymphocyte-specific protein 1 OS=Homo sapiens OX=9606 GN=LSP1 PE=1 SV=1,LSP1,3.0331E+4,4.0349E+4,3.3017E+4
sp|P42574|CASP3_HUMAN,Caspase-3 OS=Homo sapiens OX=9606 GN=CASP3 PE=1 SV=2,CASP3,1.0751E+6,1.1205E+6,1.0483E+6
sp|P46782|RS5_HUMAN,Small ribosomal subunit protein uS7 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,RPS5,1.5098E+4,1.2301E+4,9.5826E+3
sp|P48553|TPC10_HUMAN,Trafficking protein particle complex subunit 10 OS=Homo sapiens OX=9606 GN=TRAPPC10 PE=1 SV=2,TRAPPC10,2.8659E+5,1.7774E+5,3.6973E+5
sp|P53384|NUBP1_HUMAN,Cytosolic Fe-S cluster assembly factor NUBP1 OS=Homo sapiens OX=9606 GN=NUBP1 PE=1 SV=2,NUBP1,9.5570E+4,1.0245E+5,9.4247E+4
sp|P61221|ABCE1_HUMAN,ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1,ABCE1,3.8093E+4,4.2908E+4,3.6287E+4
sp|Q13443|ADAM9_HUMAN,Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9 PE=1 SV=1,ADAM9,1.8897E+5,1.5231E+5,8.7804E+4
sp|Q15722|LT4R1_HUMAN,Leukotriene B4 receptor 1 OS=Homo sapiens OX=9606 GN=LTB4R PE=1 SV=2,LTB4R,#N/A,3.2911E+3,5.0718E+3
sp|Q6PGN9|PSRC1_HUMAN,Proline/serine-rich coiled-coil protein 1 OS=Homo sapiens OX=9606 GN=PSRC1 PE=1 SV=1,PSRC1,3.5165E+3,9.1735E+3,#N/A
sp|Q6UVK1|CSPG4_HUMAN,Chondroitin sulfate proteoglycan 4 OS=Homo sapiens OX=9606 GN=CSPG4 PE=1 SV=2,CSPG4,6.8928E+6,6.9619E+6,6.5695E+6
sp|Q7Z4G1|COMD6_HUMAN,COMM domain-containing protein 6 OS=Homo sapiens OX=9606 GN=COMMD6 PE=1 SV=1,COMMD6,2.4626E+4,3.0795E+4,3.1976E+4
sp|Q86YV0|RASL3_HUMAN,RAS protein activator like-3 OS=Homo sapiens OX=9606 GN=RASAL3 PE=1 SV=2,RASAL3,2.8204E+3,6.2882E+3,#N/A
sp|Q8WUW1|BRK1_HUMAN,Protein BRICK1 OS=Homo sapiens OX=9606 GN=BRK1 PE=1 SV=1,BRK1,3.4412E+5,2.4480E+5,3.6639E+5
sp|Q9H061|T126A_HUMAN,Transmembrane protein 126A OS=Homo sapiens OX=9606 GN=TMEM126A PE=1 SV=1,TMEM126A,2.8520E+4,3.3055E+4,3.0192E+4
sp|Q9H4A3|WNK1_HUMAN,Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=2,WNK1,1.8631E+5,1.7727E+5,1.7732E+5
sp|Q9UKX3|MYH13_HUMAN,Myosin-13 OS=Homo sapiens OX=9606 GN=MYH13 PE=1 SV=2,MYH13,#N/A,1.2970E+4,1.3511E+4
sp|Q9Y3D0|CIA2B_HUMAN,Cytosolic iron-sulfur assembly component 2B OS=Homo sapiens OX=9606 GN=CIAO2B PE=1 SV=1,CIAO2B,1.0082E+4,#N/A,7.0363E+3
sp|O14498|ISLR_HUMAN,Immunoglobulin superfamily containing leucine-rich repeat protein OS=Homo sapiens OX=9606 GN=ISLR PE=1 SV=1,ISLR,1.8873E+5,1.5562E+5,1.9181E+5
sp|O60318|GANP_HUMAN,Germinal-center associated nuclear protein OS=Homo sapiens OX=9606 GN=MCM3AP PE=1 SV=2,MCM3AP,#N/A,#N/A,#N/A
sp|O75390|CISY_HUMAN,"Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2",CS,2.6695E+6,2.4704E+6,2.6493E+6
sp|O94973|AP2A2_HUMAN,AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2,AP2A2,1.1766E+5,1.4557E+5,1.6824E+5
sp|P26374|RAE2_HUMAN,Rab proteins geranylgeranyltransferase component A 2 OS=Homo sapiens OX=9606 GN=CHML PE=1 SV=2,CHML,1.5501E+4,1.3712E+4,2.0620E+4
sp|P29144|TPP2_HUMAN,Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4,TPP2,4.8174E+6,4.6239E+6,5.1231E+6
sp|P60981|DEST_HUMAN,Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=3,DSTN,1.9139E+6,1.9728E+6,1.7912E+6
sp|Q01459|DIAC_HUMAN,Di-N-acetylchitobiase OS=Homo sapiens OX=9606 GN=CTBS PE=1 SV=1,CTBS,7.0507E+4,6.0356E+4,6.0663E+4
sp|Q15052|ARHG6_HUMAN,Rho guanine nucleotide exchange factor 6 OS=Homo sapiens OX=9606 GN=ARHGEF6 PE=1 SV=2,ARHGEF6,5.7783E+4,6.2215E+4,6.4937E+4
sp|Q15125|EBP_HUMAN,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Homo sapiens OX=9606 GN=EBP PE=1 SV=3",EBP,2.9792E+4,2.8491E+4,2.5717E+4
sp|Q15311|RBP1_HUMAN,RalA-binding protein 1 OS=Homo sapiens OX=9606 GN=RALBP1 PE=1 SV=3,RALBP1,6.3901E+3,4.8699E+3,7.4616E+3
sp|Q92563|TICN2_HUMAN,Testican-2 OS=Homo sapiens OX=9606 GN=SPOCK2 PE=1 SV=1,SPOCK2,2.0550E+4,1.7558E+4,2.5638E+4
sp|Q93034|CUL5_HUMAN,Cullin-5 OS=Homo sapiens OX=9606 GN=CUL5 PE=1 SV=4,CUL5,2.8092E+4,2.2642E+4,1.6835E+4
sp|Q96A26|F162A_HUMAN,Protein FAM162A OS=Homo sapiens OX=9606 GN=FAM162A PE=1 SV=2,FAM162A,8.4469E+5,7.7806E+5,8.1084E+5
sp|Q96ER9|MITOK_HUMAN,Mitochondrial potassium channel OS=Homo sapiens OX=9606 GN=CCDC51 PE=1 SV=2,CCDC51,2.0600E+4,1.2582E+4,6.2462E+4
sp|Q96JC4|ZN479_HUMAN,Zinc finger protein 479 OS=Homo sapiens OX=9606 GN=ZNF479 PE=1 SV=1,ZNF479,3.8110E+4,2.3379E+4,3.2967E+4
sp|Q9BSJ2|GCP2_HUMAN,Gamma-tubulin complex component 2 OS=Homo sapiens OX=9606 GN=TUBGCP2 PE=1 SV=2,TUBGCP2,1.2865E+5,2.1125E+5,2.2397E+5
sp|Q9BU23|LMF2_HUMAN,Lipase maturation factor 2 OS=Homo sapiens OX=9606 GN=LMF2 PE=1 SV=2,LMF2,9.4140E+4,8.9523E+4,7.2687E+4
sp|Q9H0U3|MAGT1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1 OS=Homo sapiens OX=9606 GN=MAGT1 PE=1 SV=1,MAGT1,4.4706E+5,4.7979E+5,4.7886E+5
sp|Q9HBM0|VEZA_HUMAN,Vezatin OS=Homo sapiens OX=9606 GN=VEZT PE=1 SV=3,VEZT,3.1765E+4,3.4353E+4,1.6418E+4
sp|O15111|IKKA_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit alpha OS=Homo sapiens OX=9606 GN=CHUK PE=1 SV=2,CHUK,2.7549E+5,2.1378E+5,2.5940E+5
sp|O75351|VPS4B_HUMAN,Vacuolar protein sorting-associated protein 4B OS=Homo sapiens OX=9606 GN=VPS4B PE=1 SV=2,VPS4B,2.8149E+5,2.9686E+5,3.1346E+5
sp|O75746|S2512_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A12 PE=1 SV=2",SLC25A12,1.0303E+5,9.6998E+4,9.1448E+4
sp|O95167|NDUA3_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 OS=Homo sapiens OX=9606 GN=NDUFA3 PE=1 SV=1,NDUFA3,4.0337E+3,6.5312E+3,#N/A
sp|P01008|ANT3_HUMAN,Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1,SERPINC1,9.9056E+6,9.8814E+6,9.7491E+6
